Titel;Auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;Exemplaar;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
'Eis ijs!' zei zij;Van de Coolwijk, Marion;JIP;Jeugd info: taal;;TATAA;0.00;;;;PI0488208;3667226;N;B5;0;B;;4
't Is me wat moois!;Tome;SJB;Strips jeugd 9-11 jaar;Kleine Robbe;;4.50;    ;;;NA0513512;3193940;N;S4;0;B;;4
't Is me wat moois!;Tome;SJB;Strips jeugd 9-11 jaar;Kleine Robbe;;4.50;    ;;;NA0952036;3193939;N;S4;0;B;;4
't Is niet waar, hé ?;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.50;    ;;;3,0003E+13;26850101;N;S4;0;U;;4
't Is niet waar, hé ?;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.50;    ;;;3,00E+13;26850084;N;S4;0;U;;4
't Is niet waar, hé ?;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;7.50;    ;;;3,00E+13;26477474;N;S4;0;U;;4
't Is weer proper!;Linthout, Willy;SJB;Strips jeugd 9-11 jaar;Urbanus;;4.25;;;;NA0580899;3244363;N;S4;0;A;;4
’t Verrukkelijke kinderbakboek;Van Den Broek, Rutger;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;0.00;    ;;;3,00E+13;7632507;N;B5;0;U;;5
’t Verrukkelijke kinderbakboek;Van Den Broek, Rutger;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;22.99;;;;3,00E+13;13175873;N;B5;0;B;;5
(Knap anders!);Smale, Holly;YF0;Adolescenten;SMAL;;15.95;;;;PI0644315;4940236;N;BA;0;B;;4
(Knap anders!);Smale, Holly;YF0;Jongeren fictie grijs;SMAL;;16.95;;;;NA0830585;4940235;N;BA;0;B;;4
(On)breekbaar : niemand dacht aan anorexia : het waargebeurde ver;Didelez, Guy;JFC;Jeugd fictie 12-14 jaar;;;17.00;;;DIDE;3,00E+13;31291606;N;B4;0;B;;4
(On)breekbaar : niemand dacht aan anorexia : het waargebeurde ver;Didelez, Guy;JFC;Jeugd fictie 12-14 jaar blauw;;;17.00;;;DIDE;3,00E+13;31305351;N;B4;0;B;;4
(On)volmaakt;Ballerini, Luigi;YF0;Adolescenten;BALL;;17.95;;;;PI0791342;5957667;N;BA;0;B;;4
(S)Toverij met frieten;De Bel, Marc;JFB;Jeugd fictie 9-11 jaar;;;17.99;;;BEL;3,00E+13;21631763;N;B4;0;B;;4
(S)Toverij met frieten;De Bel, Marc;JFB;Jeugd fictie 9-11 jaar rood;;;17.99;;;DEBE;3,00E+13;22875340;N;B4;0;U;;4
(W)onderwater;Stroobant, Nathalie;JFB;Jeugd fictie 9-11 jaar;STRO;;15.00;;;;PI084540X;6313331;N;B4;0;B;;4
(W)onderwater;Stroobant, Nathalie;JFB;Jeugd fictie 9-11 jaar rood;STRO;;15.00;;;;NA1113496;6313328;N;B4;0;B;;4
[ Globalisering ];Teichmann, Iris;JIN;Jeugd info: dagelijks leven;;DAMAA;0.00;    ;;;NA0481173;2889891;N;B5;0;B;;5
[Gewoon] gevoelig;Descamps, Luc;YF0;Adolescenten;DESC;;14.99;;;;PI0810355;5974332;N;BA;0;B;;4
[Gewoon] gevoelig;Descamps, Luc;YF0;Jongeren fictie grijs;DESC;;14.99;;;;NA1166654;5974329;N;BA;0;B;;4
[Gewoon] kwetsbaar;Descamps, Luc;YF0;Jongeren fictie grijs;DESC;;14.99;;;;NA1099833;5664131;N;BA;0;B;;4
[Gewoon] leven;Descamps, Luc;YF0;Jongeren fictie grijs;DESC;;14.99;;;;NA1099825;6003557;N;BA;0;B;;4
[Gewoon] mezelf;Descamps, Luc;YF0;Adolescenten;;;15.00;;;DESC;3,00E+13;21656100;N;BA;0;B;;4
[Gewoon] mezelf;Descamps, Luc;YF0;Jongeren fictie grijs;;;15.00;;;DESC;3,00E+13;22881166;N;B4;0;B;;4
[Gewoon] verliefd;Descamps, Luc;YF0;Adolescenten;DESC;;16.00;;;;PI0844748;6329181;N;BA;0;B;;4
[Gewoon] verliefd;Descamps, Luc;YF0;Jongeren fictie grijs;DESC;;0.00;;;;NA117200X;6329177;N;BA;0;A;;4
[The twilight saga];Hardwicke, Catherine;FSJ;Speelfilms jeugd;TWIL;;14.95;;;;NA068905X;3821744;N;D4;12;B;;2
@christy;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bff's;;8.50;    ;;;3,00E+13;30551826;N;S4;0;B;;4
@christy;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bff's;;8.50;    ;;;3,00E+13;30551773;N;S4;0;U;;4
#Ciao Ally;Vandereyken, Leen;YF0;Jongeren fictie grijs;VAND;;12.95;;;;NA0931020;5012046;N;BA;0;B;;4
#LaatsteVlog;Slee, Carry;JFC;Jeugd fictie 12-14 jaar;SLEE;;14.99;;;;PI0793876;5966433;N;B4;0;U;;4
#LaatsteVlog;Slee, Carry;JFC;Jeugd fictie 12-14 jaar blauw;SLEE;;14.99;;;;NA1158007;5966430;N;B4;0;B;;4
#LikeMe;Brouns, Mathias;FSJ;Speelfilms jeugd;;;24.00;    ;;LIKE;3,00E+13;31878425;N;D4;0;B;;4
#LikeMe;Brouns, Mathias;FSJ;Speelfilms jeugd;;;28.99;;;LIKE;3,00E+13;28169923;N;D4;0;B;;4
#LikeMe;Brouns, Mathias;FSJ;Speelfilms jeugd;;;33.28;    ;;LIKE;3,00E+13;25365103;N;D4;0;B;;4
#LikeMe;Mentzel, Elias;FSJ;Speelfilms jeugd;;;18.50;    ;;LIKE;3,00E+13;7115253;N;D4;0;M;;4
#LikeMe;Mentzel, Elias;FSJ;Speelfilms jeugd;;;22.75;;;LIKE;3,00E+13;12218074;N;D4;0;B;;4
#LikeMe;Mentzel, Elias;FSJ;Speelfilms jeugd;;;23.30;    ;;LIKE;3,00E+13;12393965;N;D4;0;A;;4
#LikeMe;Mentzel, Elias;FSJ;Speelfilms jeugd;#LIK;;28.99;;;;PI0845841;6342477;N;D4;0;B;;4
#LikeMe : het grote fanboek;;JIN;Jeugd info: dagelijks leven;;DARAD;22.99;;;;3,00E+13;17572027;N;B5;0;U;;5
#selfie;Cazemier, Caja;JFC;Jeugd fictie 12-14 jaar;CAZE;;14.99;;;;PI0708542;5320328;N;B4;0;B;;4
#NAAM?;Demesmaeker, Mario;JFC;Jeugd fictie 12-14 jaar;;;15.95;;;DEME;3,00E+13;7765567;N;B4;0;B;;4
#NAAM?;Demesmaeker, Mario;JFC;Jeugd fictie 12-14 jaar blauw;;;15.95;    ;;DEME;3,00E+13;12138176;N;B4;0;A;;4
1 + 1 = zeven;Mollema, Elisabeth;JM0;Jeugd makkelijk lezen;MOLL;;11.24;    ;;;PI0439320;3300334;N;B4;0;B;;4
1 Seconde;McKenzie, Sophie;YF0;Adolescenten;;;15.99;;;MCKE;3,00E+13;12166042;N;BA;0;B;;4
1 Seconde;McKenzie, Sophie;YF0;Jongeren fictie grijs;;;15.99;;THR;MCKE;3,00E+13;12167298;N;B4;0;B;;4
1-2-3 ... Bijna! : doe-versjes en -liedjes voor kleuters;Jacobs, Karin;JIO;Jeugd info: vrije tijd - kunst;;VRLIE;19.95;;;;PI0580554;4319569;N;B5;0;A;N;4
10 blind dates;Elston, Ashley;YF0;Jongeren fictie grijs;;;15.99;;CHI;ELST;3,00E+13;7320433;N;B4;0;B;;4
10 redenen waarom pinguïns geweldig zijn;Barr, Catherine;JIH;Jeugd info: natuur;;NAVOG;0.00;    ;;;3,00E+13;7317528;N;B5;0;B;;5
10 truths en een dare;Elston, Ashley;YF0;Adolescenten;;;18.99;;;ELST;3,00E+13;17640255;N;BA;0;B;;4
10 truths en een dare;Elston, Ashley;YF0;Jongeren fictie grijs;;;18.99;;CHI;ELST;3,00E+13;17697822;N;B4;0;B;;4
10 waanzinnige uitvindingen : hoe mensen en machines de wereld ve;Amos, Ruth;JIF;Jeugd info: wetenschappen;;WTUIT;17.99;;;;3,00E+13;30810662;N;B5;0;B;;5
10 waanzinnige uitvindingen : hoe mensen en machines de wereld ve;Amos, Ruth;JIF;Jeugd info: wetenschappen;9+ - rood;WTUIT;17.99;;;;3,00E+13;30748965;N;B5;0;B;;5
100 bizarre vragen : (die toch niet zo bizar zijn);Frattini, Stéphane;JIE;Jeugd info: weetjes;;WEWEE;16.99;;;;3,00E+13;23172857;N;B5;0;U;;5
100 dingen die je moet weten over je hond;Beestig-Redactieteam;JIH;Jeugd info: natuur;;NAHON;17.99;;;;3,00E+13;29220615;N;B5;0;B;;5
100 dingen die je moet weten over je kat;Beestig-Redactieteam;JIH;Jeugd info: natuur;;NAKAT;17.99;;;;3,00E+13;29220570;N;B5;0;U;;5
100 experimenten om zelf te doen;Andrews, Georgina;JIF;Jeugd info: wetenschappen;9+ - rood;WTPRO;0.00;;;;NA0591432;3321896;N;B5;0;B;;5
100 knotsgekke moppen voor kinderen;Steenkoop, Catalina;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;4.95;;;;NA1049070;5516267;N;B5;0;U;;5
100 procent Lena;Boonen, Stefan;JFB;Jeugd fictie 9-11 jaar;BOON;;0.00;;;;PI0435872;3281104;N;B4;0;B;;4
100 procent Lena;Boonen, Stefan;JFB;Jeugd fictie 9-11 jaar rood;BOON;;13.95;;;;NA061307X;3281098;N;B4;0;A;;4
100 procent Lena;Boonen, Stefan;JFB;Jeugd fictie 9-11 jaar rood;BOON;;13.95;;;;NA0622338;3281099;N;B4;0;B;;4
100 smurfmopjes om zelf te lezen;Peyo;JIO;Jeugd info: vrije tijd - kunst;;VRMOP;10.99;;;;NA0965057;5421879;N;B5;0;B;;4
100 vragen over de ruimte;Fabrique Fantastique;JII;Jeugd info: aarde - heelal;9+ - rood;AASTE;16.99;;;;3,00E+13;29011471;N;B5;0;B;;5
100% Anna;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.50;;;;NA0685119;3455645;N;B4;0;B;;4
100% Beverly;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;13.95;;;;PI0586234;4437226;N;B4;0;B;;4
100% Beverly;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.99;;;;NA0907073;4437225;N;B4;0;B;;4
100% Bo;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.50;;;;PI0557218;3726771;N;B4;0;B;;4
100% Bo;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.99;;;;NA0907065;5192431;N;B4;0;B;;4
100% Coco : dagboek van een modeblogger;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.99;;;;PI0672432;5018015;N;B4;0;B;;4
100% Fee;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.50;;;;PI0558710;4356266;N;B4;0;U;;4
100% Fee;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.95;;;;NA082559X;4819699;N;B4;0;B;;4
100% Julia;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;13.95;;;;PI0644706;4681745;N;B4;0;U;;4
100% Julia;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.95;;;;NA0825581;4681743;N;B4;0;B;;4
100% Lola;Smit, Niki;JFC;Jeugd fictie 12-14 jaar;SMIT;;12.50;;;;PI056107X;3275966;N;B4;0;B;;4
100% Lola;Smit, Niki;JFC;Jeugd fictie 12-14 jaar blauw;SMIT;;12.99;;;;NA0907057;5192433;N;B4;0;B;;4
